JW-HC-001,01_cell_DMSO_37C-15min_Mg
JW-HC-016,01_cell_DMSO_37C-15min_Mg
JW-HC-017,01_cell_DMSO_37C-15min_Mg
JW-HC-002,02_cell_DMSO_37C-15min_Mn
JW-HC-018,02_cell_DMSO_37C-15min_Mn
JW-HC-019,02_cell_DMSO_37C-15min_Mn
JW-HC-007,03_cell_DMSO_80C-15min_Mg
JW-HC-022,03_cell_DMSO_80C-15min_Mg
JW-HC-023,03_cell_DMSO_80C-15min_Mg
JW-HC-008,04_cell_DMSO_80C-15min_Mn
JW-HC-024,04_cell_DMSO_80C-15min_Mn
JW-HC-025,04_cell_DMSO_80C-15min_Mn
JW-HC-003,05_cell_C12-5mM_37C-15min_Mn
JW-HC-028,05_cell_C12-5mM_37C-15min_Mn
JW-HC-029,05_cell_C12-5mM_37C-15min_Mn
JW-HC-005,06_cell_C12-0.5mM_37C-15min_Mn
JW-HC-034,06_cell_C12-0.5mM_37C-15min_Mn
JW-HC-035,06_cell_C12-0.5mM_37C-15min_Mn
JW-HC-009,07_cell_C12-5mM_80C-15min_Mn
JW-HC-040,07_cell_C12-5mM_80C-15min_Mn
JW-HC-041,07_cell_C12-5mM_80C-15min_Mn
JW-HC-011,08_cell_C12-0.5mM_80C-15min_Mn
JW-HC-046,08_cell_C12-0.5mM_80C-15min_Mn
JW-HC-047,08_cell_C12-0.5mM_80C-15min_Mn
JW-HC-004,09_cell_C15-5mM_37C-15min_Mn
JW-HC-030,09_cell_C15-5mM_37C-15min_Mn
JW-HC-031,09_cell_C15-5mM_37C-15min_Mn
JW-HC-006,10_cell_C15-0.5mM_37C-15min_Mn
JW-HC-036,10_cell_C15-0.5mM_37C-15min_Mn
JW-HC-037,10_cell_C15-0.5mM_37C-15min_Mn
JW-HC-010,11_cell_C15-5mM_80C-15min_Mn
JW-HC-042,11_cell_C15-5mM_80C-15min_Mn
JW-HC-043,11_cell_C15-5mM_80C-15min_Mn
JW-HC-012,12_cell_C15-0.5mM_80C-15min_Mn
JW-HC-048,12_cell_C15-0.5mM_80C-15min_Mn
JW-HC-049,12_cell_C15-0.5mM_80C-15min_Mn
JW-HC-020,13_cell_C30-5mM_37C-15min_Mn
JW-HC-032,13_cell_C30-5mM_37C-15min_Mn
JW-HC-033,13_cell_C30-5mM_37C-15min_Mn
JW-HC-021,14_cell_C30-0.5mM_37C-15min_Mn
JW-HC-038,14_cell_C30-0.5mM_37C-15min_Mn
JW-HC-039,14_cell_C30-0.5mM_37C-15min_Mn
JW-HC-026,15_cell_C30-5mM_80C-15min_Mn
JW-HC-044,15_cell_C30-5mM_80C-15min_Mn
JW-HC-045,15_cell_C30-5mM_80C-15min_Mn
JW-HC-027,16_cell_C30-0.5mM_80C-15min_Mn
JW-HC-050,16_cell_C30-0.5mM_80C-15min_Mn
JW-HC-051,16_cell_C30-0.5mM_80C-15min_Mn
