114,01_live-cell_DMSO_40C-15min_Mn
115,01_live-cell_DMSO_40C-15min_Mn
116,02_live-cell_C12-5mM_40C-15min_Mn
117,02_live-cell_C12-5mM_40C-15min_Mn
118,03_live-cell_C30-5mM_40C-15min_Mn
119,03_live-cell_C30-5mM_40C-15min_Mn
120,04_live-cell_DMSO_50C-15min_Mn
121,04_live-cell_DMSO_50C-15min_Mn
122,05_live-cell_C12-5mM_50C-15min_Mn
123,05_live-cell_C12-5mM_50C-15min_Mn
124,06_live-cell_C30-5mM_50C-15min_Mn
125,06_live-cell_C30-5mM_50C-15min_Mn
132,07_live-cell_DMSO_60C-15min_Mn
133,07_live-cell_DMSO_60C-15min_Mn
134,08_live-cell_C12-5mM_60C-15min_Mn
135,08_live-cell_C12-5mM_60C-15min_Mn
136,09_live-cell_C30-5mM_60C-15min_Mn
137,09_live-cell_C30-5mM_60C-15min_Mn
144,10_live-cell_DMSO_70C-15min_Mn
145,10_live-cell_DMSO_70C-15min_Mn
146,11_live-cell_C12-5mM_70C-15min_Mn
147,11_live-cell_C12-5mM_70C-15min_Mn
148,12_live-cell_C30-5mM_70C-15min_Mn
149,12_live-cell_C30-5mM_70C-15min_Mn
156,13_live-cell_DMSO_80C-15min_Mn
157,13_live-cell_DMSO_80C-15min_Mn
158,14_live-cell_C12-5mM_80C-15min_Mn
159,14_live-cell_C12-5mM_80C-15min_Mn
162,15_live-cell_C30-5mM_80C-15min_Mn
163,15_live-cell_C30-5mM_80C-15min_Mn
